[20:06:52] PHOENIX launcher started — v0.1.0
[20:06:52] Python OK: 3.11.9 (main, Apr 19 2026, 02:58:43) [Clang 21.0.0 (clang-2100.0.123.102)]
[20:06:52] OS: Darwin 25.5.0 arm64
[20:06:52] Node.js: v26.5.0
[20:06:53] pip install: SUCCESS
[20:06:55] npm install: SUCCESS
[20:06:55] Backend: PID 59090 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/backend_2026-08-05_20-06.log
[20:06:55] Frontend: PID 59091 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/frontend_2026-08-05_20-06.log
[20:06:55] Backend health: OK
[20:06:56] Process PID 59090 died unexpectedly (code 3)
[20:07:01] Process PID 59090 died unexpectedly (code 3)
[20:07:06] Process PID 59090 died unexpectedly (code 3)
[20:07:11] Process PID 59090 died unexpectedly (code 3)
[20:07:16] Process PID 59090 died unexpectedly (code 3)
[20:07:21] Process PID 59090 died unexpectedly (code 3)
[20:07:26] Process PID 59090 died unexpectedly (code 3)
[20:07:31] Process PID 59090 died unexpectedly (code 3)
[20:07:36] Process PID 59090 died unexpectedly (code 3)
[20:07:41] Process PID 59090 died unexpectedly (code 3)
[20:07:46] Process PID 59090 died unexpectedly (code 3)
[20:07:51] Process PID 59090 died unexpectedly (code 3)
[20:07:56] Process PID 59090 died unexpectedly (code 3)
[20:08:01] Process PID 59090 died unexpectedly (code 3)
[20:08:06] Process PID 59090 died unexpectedly (code 3)
[20:08:11] Process PID 59090 died unexpectedly (code 3)
[20:08:16] Process PID 59090 died unexpectedly (code 3)
[20:08:21] Process PID 59090 died unexpectedly (code 3)
[20:08:26] Process PID 59090 died unexpectedly (code 3)
[20:08:31] Process PID 59090 died unexpectedly (code 3)
[20:08:36] Process PID 59090 died unexpectedly (code 3)
[20:08:41] Process PID 59090 died unexpectedly (code 3)
[20:08:46] Process PID 59090 died unexpectedly (code 3)
[20:08:51] Process PID 59090 died unexpectedly (code 3)
[20:08:56] Process PID 59090 died unexpectedly (code 3)
[20:09:01] Process PID 59090 died unexpectedly (code 3)
[20:09:06] Process PID 59090 died unexpectedly (code 3)
[20:09:11] Process PID 59090 died unexpectedly (code 3)
[20:09:16] Process PID 59090 died unexpectedly (code 3)
[20:09:21] Process PID 59090 died unexpectedly (code 3)
[20:09:26] Process PID 59090 died unexpectedly (code 3)
[20:09:31] Process PID 59090 died unexpectedly (code 3)
[20:09:36] Process PID 59090 died unexpectedly (code 3)
[20:09:41] Process PID 59090 died unexpectedly (code 3)
[20:09:46] Process PID 59090 died unexpectedly (code 3)
[20:09:51] Process PID 59090 died unexpectedly (code 3)
[20:09:56] Process PID 59090 died unexpectedly (code 3)
[20:10:01] Process PID 59090 died unexpectedly (code 3)
[20:10:06] Process PID 59090 died unexpectedly (code 3)
[20:10:11] Process PID 59090 died unexpectedly (code 3)
[20:10:16] Process PID 59090 died unexpectedly (code 3)
[20:10:21] Process PID 59090 died unexpectedly (code 3)
[20:10:26] Process PID 59090 died unexpectedly (code 3)
[20:10:31] Process PID 59090 died unexpectedly (code 3)
[20:10:36] Process PID 59090 died unexpectedly (code 3)
[20:10:41] Process PID 59090 died unexpectedly (code 3)
[20:10:46] Process PID 59090 died unexpectedly (code 3)
[20:10:51] Process PID 59090 died unexpectedly (code 3)
[20:10:56] Process PID 59090 died unexpectedly (code 3)
[20:11:01] Process PID 59090 died unexpectedly (code 3)
[20:11:06] Process PID 59090 died unexpectedly (code 3)
[20:11:11] Process PID 59090 died unexpectedly (code 3)
[20:11:16] Process PID 59090 died unexpectedly (code 3)
[20:11:21] Process PID 59090 died unexpectedly (code 3)
[20:11:26] Process PID 59090 died unexpectedly (code 3)
[20:11:31] Process PID 59090 died unexpectedly (code 3)
[20:11:36] Process PID 59090 died unexpectedly (code 3)
[20:11:41] Process PID 59090 died unexpectedly (code 3)
[20:11:46] Process PID 59090 died unexpectedly (code 3)
[20:11:51] Process PID 59090 died unexpectedly (code 3)
[20:11:56] Process PID 59090 died unexpectedly (code 3)
[20:12:01] Process PID 59090 died unexpectedly (code 3)
[20:12:06] Process PID 59090 died unexpectedly (code 3)
[20:12:11] Process PID 59090 died unexpectedly (code 3)
[20:12:16] Process PID 59090 died unexpectedly (code 3)
[20:12:21] Process PID 59090 died unexpectedly (code 3)
[20:12:26] Process PID 59090 died unexpectedly (code 3)
[20:12:31] Process PID 59090 died unexpectedly (code 3)
[20:12:36] Process PID 59090 died unexpectedly (code 3)
[20:12:41] Process PID 59090 died unexpectedly (code 3)
[20:12:46] Process PID 59090 died unexpectedly (code 3)
[20:12:51] Process PID 59090 died unexpectedly (code 3)
[20:12:56] Process PID 59090 died unexpectedly (code 3)
[20:13:01] Process PID 59090 died unexpectedly (code 3)
[20:13:06] Process PID 59090 died unexpectedly (code 3)
[20:13:11] Process PID 59090 died unexpectedly (code 3)
[20:13:16] Process PID 59090 died unexpectedly (code 3)
[20:13:21] Process PID 59090 died unexpectedly (code 3)
[20:13:26] Process PID 59090 died unexpectedly (code 3)
[20:13:31] Process PID 59090 died unexpectedly (code 3)
[20:13:36] Process PID 59090 died unexpectedly (code 3)
[20:13:41] Process PID 59090 died unexpectedly (code 3)
[20:13:46] Process PID 59090 died unexpectedly (code 3)
[20:13:51] Process PID 59090 died unexpectedly (code 3)
[20:13:56] Process PID 59090 died unexpectedly (code 3)
[20:14:01] Process PID 59090 died unexpectedly (code 3)
[20:14:06] Process PID 59090 died unexpectedly (code 3)
[20:14:11] Process PID 59090 died unexpectedly (code 3)
[20:14:16] Process PID 59090 died unexpectedly (code 3)
[20:14:21] Process PID 59090 died unexpectedly (code 3)
[20:14:26] Process PID 59090 died unexpectedly (code 3)
[20:14:31] Process PID 59090 died unexpectedly (code 3)
[20:14:36] Process PID 59090 died unexpectedly (code 3)
[20:14:41] Process PID 59090 died unexpectedly (code 3)
[20:14:46] Process PID 59090 died unexpectedly (code 3)
[20:14:51] Process PID 59090 died unexpectedly (code 3)
[20:14:56] Process PID 59090 died unexpectedly (code 3)
[20:15:01] Process PID 59090 died unexpectedly (code 3)
[20:15:06] Process PID 59090 died unexpectedly (code 3)
[20:15:11] Process PID 59090 died unexpectedly (code 3)
[20:15:16] Process PID 59090 died unexpectedly (code 3)
[20:15:21] Process PID 59090 died unexpectedly (code 3)
[20:15:26] Process PID 59090 died unexpectedly (code 3)
[20:15:31] Process PID 59090 died unexpectedly (code 3)
[20:15:36] Process PID 59090 died unexpectedly (code 3)
[20:15:41] Process PID 59090 died unexpectedly (code 3)
[20:15:46] Process PID 59090 died unexpectedly (code 3)
[20:15:51] Process PID 59090 died unexpectedly (code 3)
[20:15:56] Process PID 59090 died unexpectedly (code 3)
[20:16:01] Process PID 59090 died unexpectedly (code 3)
[20:16:06] Process PID 59090 died unexpectedly (code 3)
[20:16:11] Process PID 59090 died unexpectedly (code 3)
[20:16:16] Process PID 59090 died unexpectedly (code 3)
[20:16:21] Process PID 59090 died unexpectedly (code 3)
[20:16:26] Process PID 59090 died unexpectedly (code 3)
[20:16:31] Process PID 59090 died unexpectedly (code 3)
[20:16:36] Process PID 59090 died unexpectedly (code 3)
[20:16:41] Process PID 59090 died unexpectedly (code 3)
[20:16:46] Process PID 59090 died unexpectedly (code 3)
[20:16:51] Process PID 59090 died unexpectedly (code 3)
[20:16:56] Process PID 59090 died unexpectedly (code 3)
[20:17:01] Process PID 59090 died unexpectedly (code 3)
[20:17:06] Process PID 59090 died unexpectedly (code 3)
[20:17:11] Process PID 59090 died unexpectedly (code 3)
[20:17:16] Process PID 59090 died unexpectedly (code 3)
[20:17:21] Process PID 59090 died unexpectedly (code 3)
[20:17:26] Process PID 59090 died unexpectedly (code 3)
[20:17:31] Process PID 59090 died unexpectedly (code 3)
[20:17:36] Process PID 59090 died unexpectedly (code 3)
[20:17:41] Process PID 59090 died unexpectedly (code 3)
[20:17:46] Process PID 59090 died unexpectedly (code 3)
[20:17:51] Process PID 59090 died unexpectedly (code 3)
[20:17:56] Process PID 59090 died unexpectedly (code 3)
[20:18:01] Process PID 59090 died unexpectedly (code 3)
[20:18:06] Process PID 59090 died unexpectedly (code 3)
[20:18:11] Process PID 59090 died unexpectedly (code 3)
[20:18:16] Process PID 59090 died unexpectedly (code 3)
[20:18:21] Process PID 59090 died unexpectedly (code 3)
[20:18:26] Process PID 59090 died unexpectedly (code 3)
[20:18:31] Process PID 59090 died unexpectedly (code 3)
[20:18:36] Process PID 59090 died unexpectedly (code 3)
[20:18:41] Process PID 59090 died unexpectedly (code 3)
[20:18:46] Process PID 59090 died unexpectedly (code 3)
[20:18:51] Process PID 59090 died unexpectedly (code 3)
[20:18:56] Process PID 59090 died unexpectedly (code 3)
[20:19:01] Process PID 59090 died unexpectedly (code 3)
[20:19:06] Process PID 59090 died unexpectedly (code 3)
[20:19:11] Process PID 59090 died unexpectedly (code 3)
[20:19:16] Process PID 59090 died unexpectedly (code 3)
[20:19:21] Process PID 59090 died unexpectedly (code 3)
[20:19:26] Process PID 59090 died unexpectedly (code 3)
[20:19:31] Process PID 59090 died unexpectedly (code 3)
[20:19:36] Process PID 59090 died unexpectedly (code 3)
[20:19:41] Process PID 59090 died unexpectedly (code 3)
[20:19:46] Process PID 59090 died unexpectedly (code 3)
[20:19:51] Process PID 59090 died unexpectedly (code 3)
[20:19:56] Process PID 59090 died unexpectedly (code 3)
[20:20:01] Process PID 59090 died unexpectedly (code 3)
[20:20:06] Process PID 59090 died unexpectedly (code 3)
[20:20:11] Process PID 59090 died unexpectedly (code 3)
[20:20:16] Process PID 59090 died unexpectedly (code 3)
[20:20:21] Process PID 59090 died unexpectedly (code 3)
[20:20:26] Process PID 59090 died unexpectedly (code 3)
[20:20:31] Process PID 59090 died unexpectedly (code 3)
[20:20:36] Process PID 59090 died unexpectedly (code 3)
[20:20:41] Process PID 59090 died unexpectedly (code 3)
[20:20:46] Process PID 59090 died unexpectedly (code 3)
[20:20:51] Process PID 59090 died unexpectedly (code 3)
[20:20:56] Process PID 59090 died unexpectedly (code 3)
[20:21:01] Process PID 59090 died unexpectedly (code 3)
[20:21:06] Process PID 59090 died unexpectedly (code 3)
[20:21:11] Process PID 59090 died unexpectedly (code 3)
[20:21:17] Process PID 59090 died unexpectedly (code 3)
[20:21:22] Process PID 59090 died unexpectedly (code 3)
[20:21:27] Process PID 59090 died unexpectedly (code 3)
[20:21:32] Process PID 59090 died unexpectedly (code 3)
[20:21:37] Process PID 59090 died unexpectedly (code 3)
[20:21:42] Process PID 59090 died unexpectedly (code 3)
[20:21:47] Process PID 59090 died unexpectedly (code 3)
[20:21:52] Process PID 59090 died unexpectedly (code 3)
[20:21:57] Process PID 59090 died unexpectedly (code 3)
[20:22:02] Process PID 59090 died unexpectedly (code 3)
[20:22:07] Process PID 59090 died unexpectedly (code 3)
[20:22:12] Process PID 59090 died unexpectedly (code 3)
[20:22:17] Process PID 59090 died unexpectedly (code 3)
[20:22:22] Process PID 59090 died unexpectedly (code 3)
[20:22:27] Process PID 59090 died unexpectedly (code 3)
[20:22:32] Process PID 59090 died unexpectedly (code 3)
[20:22:37] Process PID 59090 died unexpectedly (code 3)
[20:22:42] Process PID 59090 died unexpectedly (code 3)
[20:22:47] Process PID 59090 died unexpectedly (code 3)
[20:22:52] Process PID 59090 died unexpectedly (code 3)
[20:22:57] Process PID 59090 died unexpectedly (code 3)
[20:23:02] Process PID 59090 died unexpectedly (code 3)
[20:23:07] Process PID 59090 died unexpectedly (code 3)
[20:23:12] Process PID 59090 died unexpectedly (code 3)
[20:23:17] Process PID 59090 died unexpectedly (code 3)
[20:23:22] Process PID 59090 died unexpectedly (code 3)
[20:23:27] Process PID 59090 died unexpectedly (code 3)
[20:23:32] Process PID 59090 died unexpectedly (code 3)
[20:23:37] Process PID 59090 died unexpectedly (code 3)
[20:23:42] Process PID 59090 died unexpectedly (code 3)
[20:23:47] Process PID 59090 died unexpectedly (code 3)
[20:23:52] Process PID 59090 died unexpectedly (code 3)
[20:23:57] Process PID 59090 died unexpectedly (code 3)
[20:24:02] Process PID 59090 died unexpectedly (code 3)
[20:24:07] Process PID 59090 died unexpectedly (code 3)
[20:24:12] Process PID 59090 died unexpectedly (code 3)
[20:24:17] Process PID 59090 died unexpectedly (code 3)
[20:24:22] Process PID 59090 died unexpectedly (code 3)
[20:24:27] Process PID 59090 died unexpectedly (code 3)
[20:24:32] Process PID 59090 died unexpectedly (code 3)
[20:24:37] Process PID 59090 died unexpectedly (code 3)
[20:24:42] Process PID 59090 died unexpectedly (code 3)
[20:24:47] Process PID 59090 died unexpectedly (code 3)
[20:24:52] Process PID 59090 died unexpectedly (code 3)
[20:24:57] Process PID 59090 died unexpectedly (code 3)
[20:25:02] Process PID 59090 died unexpectedly (code 3)
[20:25:07] Process PID 59090 died unexpectedly (code 3)
[20:25:12] Process PID 59090 died unexpectedly (code 3)
[20:25:17] Process PID 59090 died unexpectedly (code 3)
[20:25:22] Process PID 59090 died unexpectedly (code 3)
[20:25:27] Process PID 59090 died unexpectedly (code 3)
[20:25:32] Process PID 59090 died unexpectedly (code 3)
[20:25:37] Process PID 59090 died unexpectedly (code 3)
[20:25:42] Process PID 59090 died unexpectedly (code 3)
[20:25:47] Process PID 59090 died unexpectedly (code 3)
[20:25:52] Process PID 59090 died unexpectedly (code 3)
[20:25:57] Process PID 59090 died unexpectedly (code 3)
[20:26:02] Process PID 59090 died unexpectedly (code 3)
[20:26:07] Process PID 59090 died unexpectedly (code 3)
[20:26:12] Process PID 59090 died unexpectedly (code 3)
[20:26:17] Process PID 59090 died unexpectedly (code 3)
[20:26:22] Process PID 59090 died unexpectedly (code 3)
[20:26:27] Process PID 59090 died unexpectedly (code 3)
[20:26:32] Process PID 59090 died unexpectedly (code 3)
[20:26:33] Shutdown initiated
[20:26:34] Shutdown complete
