[11:11:28] PHOENIX launcher started — v0.1.0
[11:11:28] Python OK: 3.11.9 (main, Apr 19 2026, 02:58:43) [Clang 21.0.0 (clang-2100.0.123.102)]
[11:11:28] OS: Darwin 25.5.0 arm64
[11:11:28] Node.js: v26.5.0
[11:11:30] pip install: SUCCESS
[11:11:32] npm install: SUCCESS
[11:11:32] Backend: PID 67558 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/backend_2026-08-07_11-11.log
[11:11:32] Frontend: PID 67559 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/frontend_2026-08-07_11-11.log
[11:11:32] Backend health: OK
[11:11:33] Process PID 67558 died unexpectedly (code 3)
[11:11:38] Process PID 67558 died unexpectedly (code 3)
[11:11:43] Process PID 67558 died unexpectedly (code 3)
[11:11:48] Process PID 67558 died unexpectedly (code 3)
[11:11:53] Process PID 67558 died unexpectedly (code 3)
[11:11:58] Process PID 67558 died unexpectedly (code 3)
[11:12:03] Process PID 67558 died unexpectedly (code 3)
[11:12:08] Process PID 67558 died unexpectedly (code 3)
[11:12:13] Process PID 67558 died unexpectedly (code 3)
[11:12:18] Process PID 67558 died unexpectedly (code 3)
[11:12:23] Process PID 67558 died unexpectedly (code 3)
[11:12:28] Process PID 67558 died unexpectedly (code 3)
[11:12:33] Process PID 67558 died unexpectedly (code 3)
[11:12:38] Process PID 67558 died unexpectedly (code 3)
[11:12:43] Process PID 67558 died unexpectedly (code 3)
[11:12:48] Process PID 67558 died unexpectedly (code 3)
[11:12:53] Process PID 67558 died unexpectedly (code 3)
[11:12:58] Process PID 67558 died unexpectedly (code 3)
[11:13:03] Process PID 67558 died unexpectedly (code 3)
[11:13:08] Process PID 67558 died unexpectedly (code 3)
[11:13:13] Process PID 67558 died unexpectedly (code 3)
[11:13:18] Process PID 67558 died unexpectedly (code 3)
[11:13:23] Process PID 67558 died unexpectedly (code 3)
[11:13:28] Process PID 67558 died unexpectedly (code 3)
[11:13:33] Process PID 67558 died unexpectedly (code 3)
[11:13:38] Process PID 67558 died unexpectedly (code 3)
[11:13:43] Process PID 67558 died unexpectedly (code 3)
[11:13:49] Process PID 67558 died unexpectedly (code 3)
[11:13:54] Process PID 67558 died unexpectedly (code 3)
[11:13:59] Process PID 67558 died unexpectedly (code 3)
[11:14:04] Process PID 67558 died unexpectedly (code 3)
[11:14:09] Process PID 67558 died unexpectedly (code 3)
[11:14:14] Process PID 67558 died unexpectedly (code 3)
[11:14:19] Process PID 67558 died unexpectedly (code 3)
[11:14:24] Process PID 67558 died unexpectedly (code 3)
[11:14:29] Process PID 67558 died unexpectedly (code 3)
[11:14:34] Process PID 67558 died unexpectedly (code 3)
[11:14:39] Process PID 67558 died unexpectedly (code 3)
[11:14:44] Process PID 67558 died unexpectedly (code 3)
[11:14:49] Process PID 67558 died unexpectedly (code 3)
[11:14:54] Process PID 67558 died unexpectedly (code 3)
[11:14:59] Process PID 67558 died unexpectedly (code 3)
[11:15:04] Process PID 67558 died unexpectedly (code 3)
[11:15:09] Process PID 67558 died unexpectedly (code 3)
[11:15:14] Process PID 67558 died unexpectedly (code 3)
[11:15:19] Process PID 67558 died unexpectedly (code 3)
[11:15:24] Process PID 67558 died unexpectedly (code 3)
[11:15:29] Process PID 67558 died unexpectedly (code 3)
[11:15:34] Process PID 67558 died unexpectedly (code 3)
[11:15:39] Process PID 67558 died unexpectedly (code 3)
[11:15:44] Process PID 67558 died unexpectedly (code 3)
[11:15:49] Process PID 67558 died unexpectedly (code 3)
[11:15:54] Process PID 67558 died unexpectedly (code 3)
[11:15:59] Process PID 67558 died unexpectedly (code 3)
[11:16:04] Process PID 67558 died unexpectedly (code 3)
[11:16:09] Process PID 67558 died unexpectedly (code 3)
[11:16:14] Process PID 67558 died unexpectedly (code 3)
[11:16:19] Process PID 67558 died unexpectedly (code 3)
[11:16:24] Process PID 67558 died unexpectedly (code 3)
[11:16:29] Process PID 67558 died unexpectedly (code 3)
[11:16:34] Process PID 67558 died unexpectedly (code 3)
[11:16:39] Process PID 67558 died unexpectedly (code 3)
[11:17:42] Process PID 67558 died unexpectedly (code 3)
[11:17:47] Process PID 67558 died unexpectedly (code 3)
[11:17:52] Process PID 67558 died unexpectedly (code 3)
[11:17:57] Process PID 67558 died unexpectedly (code 3)
[11:18:02] Process PID 67558 died unexpectedly (code 3)
[11:18:07] Process PID 67558 died unexpectedly (code 3)
[11:18:12] Process PID 67558 died unexpectedly (code 3)
[11:18:17] Process PID 67558 died unexpectedly (code 3)
[11:18:22] Process PID 67558 died unexpectedly (code 3)
[11:18:27] Process PID 67558 died unexpectedly (code 3)
[11:18:32] Process PID 67558 died unexpectedly (code 3)
[11:18:37] Process PID 67558 died unexpectedly (code 3)
[11:18:42] Process PID 67558 died unexpectedly (code 3)
[11:18:47] Process PID 67558 died unexpectedly (code 3)
[11:18:52] Process PID 67558 died unexpectedly (code 3)
[11:18:57] Process PID 67558 died unexpectedly (code 3)
[11:19:02] Process PID 67558 died unexpectedly (code 3)
[11:19:07] Process PID 67558 died unexpectedly (code 3)
[11:19:12] Process PID 67558 died unexpectedly (code 3)
[11:19:17] Process PID 67558 died unexpectedly (code 3)
[11:19:22] Process PID 67558 died unexpectedly (code 3)
[11:19:27] Process PID 67558 died unexpectedly (code 3)
[11:19:32] Process PID 67558 died unexpectedly (code 3)
[11:19:37] Process PID 67558 died unexpectedly (code 3)
[11:19:42] Process PID 67558 died unexpectedly (code 3)
[11:19:47] Process PID 67558 died unexpectedly (code 3)
[11:19:52] Process PID 67558 died unexpectedly (code 3)
[11:19:57] Process PID 67558 died unexpectedly (code 3)
[11:20:02] Process PID 67558 died unexpectedly (code 3)
[11:20:07] Process PID 67558 died unexpectedly (code 3)
[11:20:12] Process PID 67558 died unexpectedly (code 3)
[11:20:17] Process PID 67558 died unexpectedly (code 3)
[11:20:22] Process PID 67558 died unexpectedly (code 3)
[11:20:27] Process PID 67558 died unexpectedly (code 3)
[11:20:32] Process PID 67558 died unexpectedly (code 3)
[11:20:37] Process PID 67558 died unexpectedly (code 3)
[11:20:42] Process PID 67558 died unexpectedly (code 3)
[11:20:47] Process PID 67558 died unexpectedly (code 3)
[11:20:52] Process PID 67558 died unexpectedly (code 3)
[11:20:57] Process PID 67558 died unexpectedly (code 3)
[11:21:02] Process PID 67558 died unexpectedly (code 3)
[11:21:07] Process PID 67558 died unexpectedly (code 3)
[11:21:12] Process PID 67558 died unexpectedly (code 3)
[11:21:17] Process PID 67558 died unexpectedly (code 3)
[11:21:22] Process PID 67558 died unexpectedly (code 3)
[11:21:27] Process PID 67558 died unexpectedly (code 3)
[11:21:32] Process PID 67558 died unexpectedly (code 3)
[11:21:37] Process PID 67558 died unexpectedly (code 3)
[11:21:42] Process PID 67558 died unexpectedly (code 3)
[11:21:47] Process PID 67558 died unexpectedly (code 3)
[11:21:52] Process PID 67558 died unexpectedly (code 3)
[11:21:57] Process PID 67558 died unexpectedly (code 3)
[11:22:02] Process PID 67558 died unexpectedly (code 3)
[11:22:07] Process PID 67558 died unexpectedly (code 3)
[11:22:12] Process PID 67558 died unexpectedly (code 3)
[11:22:17] Process PID 67558 died unexpectedly (code 3)
[11:22:22] Process PID 67558 died unexpectedly (code 3)
[11:22:27] Process PID 67558 died unexpectedly (code 3)
[11:22:32] Process PID 67558 died unexpectedly (code 3)
[11:22:37] Process PID 67558 died unexpectedly (code 3)
[11:22:42] Process PID 67558 died unexpectedly (code 3)
[11:22:47] Process PID 67558 died unexpectedly (code 3)
[11:22:52] Process PID 67558 died unexpectedly (code 3)
[11:22:57] Process PID 67558 died unexpectedly (code 3)
[11:23:02] Process PID 67558 died unexpectedly (code 3)
[11:23:07] Process PID 67558 died unexpectedly (code 3)
[11:23:12] Process PID 67558 died unexpectedly (code 3)
[11:23:17] Process PID 67558 died unexpectedly (code 3)
[11:23:22] Process PID 67558 died unexpectedly (code 3)
[11:23:27] Process PID 67558 died unexpectedly (code 3)
[11:23:32] Process PID 67558 died unexpectedly (code 3)
[11:23:37] Process PID 67558 died unexpectedly (code 3)
[11:23:42] Process PID 67558 died unexpectedly (code 3)
[11:23:47] Process PID 67558 died unexpectedly (code 3)
[11:23:52] Process PID 67558 died unexpectedly (code 3)
[11:23:57] Process PID 67558 died unexpectedly (code 3)
[11:24:02] Process PID 67558 died unexpectedly (code 3)
[11:24:07] Process PID 67558 died unexpectedly (code 3)
[11:24:12] Process PID 67558 died unexpectedly (code 3)
