[20:26:34] PHOENIX launcher started — v0.1.0
[20:26:34] Python OK: 3.11.9 (main, Apr 19 2026, 02:58:43) [Clang 21.0.0 (clang-2100.0.123.102)]
[20:26:34] OS: Darwin 25.5.0 arm64
[20:26:34] Node.js: v26.5.0
[20:26:35] pip install: SUCCESS
[20:26:37] npm install: SUCCESS
[20:26:37] Backend: PID 59877 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/backend_2026-08-05_20-26.log
[20:26:37] Frontend: PID 59878 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/frontend_2026-08-05_20-26.log
[20:26:37] Backend health: OK
[20:26:38] Process PID 59877 died unexpectedly (code 3)
[20:26:43] Process PID 59877 died unexpectedly (code 3)
[20:26:48] Process PID 59877 died unexpectedly (code 3)
[20:26:53] Process PID 59877 died unexpectedly (code 3)
[20:26:58] Process PID 59877 died unexpectedly (code 3)
[20:27:03] Process PID 59877 died unexpectedly (code 3)
[20:27:08] Process PID 59877 died unexpectedly (code 3)
[20:27:13] Process PID 59877 died unexpectedly (code 3)
[20:27:18] Process PID 59877 died unexpectedly (code 3)
[20:27:23] Process PID 59877 died unexpectedly (code 3)
[20:27:28] Process PID 59877 died unexpectedly (code 3)
[20:27:33] Process PID 59877 died unexpectedly (code 3)
[20:27:38] Process PID 59877 died unexpectedly (code 3)
[20:27:43] Process PID 59877 died unexpectedly (code 3)
[20:27:48] Process PID 59877 died unexpectedly (code 3)
[20:27:53] Process PID 59877 died unexpectedly (code 3)
[20:27:58] Process PID 59877 died unexpectedly (code 3)
[20:28:03] Process PID 59877 died unexpectedly (code 3)
[20:28:08] Process PID 59877 died unexpectedly (code 3)
[20:28:13] Process PID 59877 died unexpectedly (code 3)
[20:28:18] Process PID 59877 died unexpectedly (code 3)
[20:28:24] Process PID 59877 died unexpectedly (code 3)
[20:28:29] Process PID 59877 died unexpectedly (code 3)
[20:28:34] Process PID 59877 died unexpectedly (code 3)
[20:28:39] Process PID 59877 died unexpectedly (code 3)
[20:28:44] Process PID 59877 died unexpectedly (code 3)
[20:28:49] Process PID 59877 died unexpectedly (code 3)
[20:28:54] Process PID 59877 died unexpectedly (code 3)
[20:28:59] Process PID 59877 died unexpectedly (code 3)
[20:29:04] Process PID 59877 died unexpectedly (code 3)
[20:29:09] Process PID 59877 died unexpectedly (code 3)
[20:29:14] Process PID 59877 died unexpectedly (code 3)
[20:29:19] Process PID 59877 died unexpectedly (code 3)
[20:29:24] Process PID 59877 died unexpectedly (code 3)
[20:29:29] Process PID 59877 died unexpectedly (code 3)
[20:29:34] Process PID 59877 died unexpectedly (code 3)
[20:29:39] Process PID 59877 died unexpectedly (code 3)
[20:29:44] Process PID 59877 died unexpectedly (code 3)
[20:29:49] Process PID 59877 died unexpectedly (code 3)
[20:29:54] Process PID 59877 died unexpectedly (code 3)
[20:29:59] Process PID 59877 died unexpectedly (code 3)
[20:30:04] Process PID 59877 died unexpectedly (code 3)
[20:30:09] Process PID 59877 died unexpectedly (code 3)
[20:30:14] Process PID 59877 died unexpectedly (code 3)
[20:30:19] Process PID 59877 died unexpectedly (code 3)
[20:30:24] Process PID 59877 died unexpectedly (code 3)
[20:30:29] Process PID 59877 died unexpectedly (code 3)
[20:30:34] Process PID 59877 died unexpectedly (code 3)
[20:30:39] Process PID 59877 died unexpectedly (code 3)
[20:30:44] Process PID 59877 died unexpectedly (code 3)
[20:30:49] Process PID 59877 died unexpectedly (code 3)
[20:30:54] Process PID 59877 died unexpectedly (code 3)
[20:30:59] Process PID 59877 died unexpectedly (code 3)
[20:31:04] Process PID 59877 died unexpectedly (code 3)
[20:31:09] Process PID 59877 died unexpectedly (code 3)
[20:31:14] Process PID 59877 died unexpectedly (code 3)
[20:31:19] Process PID 59877 died unexpectedly (code 3)
[20:31:24] Process PID 59877 died unexpectedly (code 3)
[20:31:29] Process PID 59877 died unexpectedly (code 3)
[20:31:34] Process PID 59877 died unexpectedly (code 3)
[20:31:39] Process PID 59877 died unexpectedly (code 3)
[20:31:44] Process PID 59877 died unexpectedly (code 3)
[20:31:49] Process PID 59877 died unexpectedly (code 3)
[20:31:54] Process PID 59877 died unexpectedly (code 3)
[20:31:59] Process PID 59877 died unexpectedly (code 3)
[20:32:04] Process PID 59877 died unexpectedly (code 3)
[20:32:09] Process PID 59877 died unexpectedly (code 3)
[20:32:14] Process PID 59877 died unexpectedly (code 3)
[20:32:19] Process PID 59877 died unexpectedly (code 3)
[20:32:24] Process PID 59877 died unexpectedly (code 3)
[20:32:29] Process PID 59877 died unexpectedly (code 3)
[20:32:34] Process PID 59877 died unexpectedly (code 3)
[20:32:39] Process PID 59877 died unexpectedly (code 3)
[20:32:44] Process PID 59877 died unexpectedly (code 3)
[20:32:49] Process PID 59877 died unexpectedly (code 3)
[20:32:54] Process PID 59877 died unexpectedly (code 3)
[20:32:59] Process PID 59877 died unexpectedly (code 3)
[20:33:04] Process PID 59877 died unexpectedly (code 3)
[20:33:09] Process PID 59877 died unexpectedly (code 3)
[20:33:14] Process PID 59877 died unexpectedly (code 3)
[20:33:19] Process PID 59877 died unexpectedly (code 3)
[20:33:24] Process PID 59877 died unexpectedly (code 3)
[20:33:29] Process PID 59877 died unexpectedly (code 3)
[20:33:34] Process PID 59877 died unexpectedly (code 3)
[20:33:39] Process PID 59877 died unexpectedly (code 3)
[20:33:44] Process PID 59877 died unexpectedly (code 3)
[20:33:49] Process PID 59877 died unexpectedly (code 3)
[20:33:54] Process PID 59877 died unexpectedly (code 3)
[20:33:59] Process PID 59877 died unexpectedly (code 3)
[20:34:04] Process PID 59877 died unexpectedly (code 3)
[20:34:09] Process PID 59877 died unexpectedly (code 3)
[20:34:14] Process PID 59877 died unexpectedly (code 3)
[20:34:19] Process PID 59877 died unexpectedly (code 3)
[20:34:24] Process PID 59877 died unexpectedly (code 3)
[20:34:29] Process PID 59877 died unexpectedly (code 3)
[20:34:34] Process PID 59877 died unexpectedly (code 3)
[20:34:39] Process PID 59877 died unexpectedly (code 3)
[20:34:44] Process PID 59877 died unexpectedly (code 3)
[20:34:49] Process PID 59877 died unexpectedly (code 3)
[20:34:54] Process PID 59877 died unexpectedly (code 3)
[20:34:59] Process PID 59877 died unexpectedly (code 3)
[20:35:04] Process PID 59877 died unexpectedly (code 3)
[20:35:09] Process PID 59877 died unexpectedly (code 3)
[20:35:14] Process PID 59877 died unexpectedly (code 3)
[20:35:19] Process PID 59877 died unexpectedly (code 3)
[20:35:24] Process PID 59877 died unexpectedly (code 3)
[20:35:29] Process PID 59877 died unexpectedly (code 3)
[20:35:34] Process PID 59877 died unexpectedly (code 3)
[20:35:39] Process PID 59877 died unexpectedly (code 3)
[20:35:44] Process PID 59877 died unexpectedly (code 3)
[20:35:49] Process PID 59877 died unexpectedly (code 3)
[20:35:54] Process PID 59877 died unexpectedly (code 3)
[20:35:59] Process PID 59877 died unexpectedly (code 3)
[20:36:04] Process PID 59877 died unexpectedly (code 3)
[20:36:09] Process PID 59877 died unexpectedly (code 3)
[20:36:14] Process PID 59877 died unexpectedly (code 3)
[20:36:19] Process PID 59877 died unexpectedly (code 3)
[20:36:24] Process PID 59877 died unexpectedly (code 3)
[20:36:29] Process PID 59877 died unexpectedly (code 3)
[20:36:34] Process PID 59877 died unexpectedly (code 3)
[20:36:39] Process PID 59877 died unexpectedly (code 3)
[20:36:44] Process PID 59877 died unexpectedly (code 3)
[20:36:49] Process PID 59877 died unexpectedly (code 3)
[20:36:54] Process PID 59877 died unexpectedly (code 3)
[20:36:59] Process PID 59877 died unexpectedly (code 3)
[20:37:04] Process PID 59877 died unexpectedly (code 3)
